指标名称,原始_样本量,原始_ADF_p值,原始_KPSS_p值,原始_综合平稳,原始_偏度,差分_ADF_p值,差分_KPSS_p值,差分_综合平稳,差分_偏度,百分比_ADF_p值,百分比_KPSS_p值,百分比_综合平稳,百分比_偏度,Log_有效,Log_ADF_p值,Log_KPSS_p值,Log_综合平稳,Log_偏度
"ID02017483
(铁矿石：进口：库存：华北地区：45个港口（周度）)",524,0.092994,0.100000,❌,0.298,0.000000,0.100000,✅,-0.454,0.000000,0.100000,✅,-0.237,✅,0.114676,0.100000,❌,-0.085
"ID02017488
(铁矿石：进口：库存：华南地区：45个港口（周度）)",524,0.053561,0.010000,❌,0.023,-,0.100000,✅,-0.057,0.000000,0.100000,✅,0.035,✅,0.058107,0.010000,❌,-0.256
"ID02017501
(铁矿石：进口：库存：长江沿江地区：45个港口（周度）)",524,0.005162,0.058711,✅,-0.033,0.000000,0.100000,✅,-0.262,-,0.100000,✅,-0.153,✅,0.009513,0.066523,✅,-0.375
"ID00414945
(铁矿石：进口：库存：华东地区：45个港口（周度）)",524,0.411044,0.010000,❌,-0.175,0.000000,0.100000,✅,-0.230,0.000000,0.100000,✅,-0.281,✅,0.618184,0.010000,❌,-0.438
"ID00186052
(铁矿石：进口：库存：45个港口（周度）)",525,0.074930,0.010274,❌,-0.136,0.000000,0.100000,✅,-0.156,0.000000,0.100000,✅,-0.159,✅,0.243151,0.010000,❌,-0.410
"ID00186278
(块矿：库存：45个港口（周度）)",524,0.035340,0.030855,❌,0.072,0.000000,0.100000,✅,-0.313,0.000000,0.100000,✅,-0.324,✅,0.039179,0.017891,❌,-0.366
"ID01135139
(粗粉：进口：库存：45个港口（周度）)",535,0.111579,0.093037,❌,-0.183,0.000000,0.100000,✅,0.027,0.000000,0.100000,✅,0.039,✅,0.174245,0.084759,❌,-0.473
"ID00186491
(铁精粉：库存：45个港口（周度）)",524,0.007355,0.010000,❌,0.372,0.000000,0.100000,✅,-0.150,0.000000,0.100000,✅,0.099,✅,0.024273,0.010000,❌,-0.571
"ID00186318
(球团矿：进口：库存：45个港口（周度）)",524,0.007225,0.019898,❌,0.468,0.000001,0.100000,✅,-0.133,0.000001,0.100000,✅,-0.121,✅,0.067415,0.010000,❌,-0.518
"ID01512800
(块矿：进口：库存：47个港口（周度）)",223,0.211461,0.100000,❌,0.100,0.000000,0.100000,✅,-0.176,0.000000,0.100000,✅,-0.089,✅,0.190679,0.100000,❌,-0.054
"ID01868329
(粗粉：库存：47个港口（周度）)",188,0.135604,0.010000,❌,0.235,0.000548,0.100000,✅,0.404,0.000015,0.100000,✅,0.493,✅,0.187509,0.010000,❌,0.018
"ID01512783
(铁精粉：进口：库存：47个港口（周度）)",223,0.043224,0.010000,❌,1.000,0.000000,0.100000,✅,-0.324,0.000000,0.100000,✅,-0.093,✅,0.107028,0.010000,❌,0.558
"ID01512793
(球团矿：进口：库存：47个港口（周度）)",223,0.090212,0.010000,❌,-0.079,0.000899,0.100000,✅,-0.399,0.000251,0.100000,✅,-0.185,✅,0.138920,0.010000,❌,-0.579
"ID01512786
(铁矿石：进口：库存：47个港口（周度）)",223,0.294442,0.015599,❌,0.061,0.000000,0.100000,✅,0.216,0.000000,0.100000,✅,0.327,✅,0.134759,0.017305,❌,-0.179
"ID01517120
(PB粉：港口库存：华东地区：青岛港：明细（周度）)",440,0.017351,0.100000,✅,0.403,0.000000,0.100000,✅,-0.266,-,0.100000,✅,20.952,❌,-,-,-,-
"ID01517067
(PB粉：港口库存：华北地区：曹妃甸港：明细（周度）)",440,0.000016,0.100000,✅,0.474,-,0.100000,✅,-0.540,0.000000,0.100000,✅,0.987,✅,0.000002,0.100000,✅,-0.902
"ID01516906
(PB粉：港口库存：长江沿江地区：江阴港：明细（周度）)",440,0.000028,0.015983,❌,0.526,0.000000,0.100000,✅,-0.143,0.000000,0.100000,✅,2.707,✅,0.001705,0.021953,❌,-0.977
"ID01516560
(PB块：港口库存：华东地区：青岛港：明细（周度）)",440,0.001408,0.100000,✅,0.430,-,0.100000,✅,-0.483,-,0.100000,✅,20.952,❌,-,-,-,-
