data_date,ID00184088_quarter,ID00185747,ID00185749,ID00185751,ID00185753,ID00186193,ID00186280,ID00186281,ID00186282,ID00186284,ID00186285,ID00186286,ID00186408,ID00186666,ID00186669,ID00186670,ID00186671,ID00186683,ID00186684,ID00186985,ID00186990,ID00187000,ID00187001,ID00187002,ID00187017,ID00313193_quarter,ID00392622,ID01155774_quarter,ID01155776_quarter,ID01434259,ID01562389_quarter,ID01562396_quarter,ID01562397_quarter,ID01565061_quarter,ID01879051,ID02039108_quarter,ID02039109_quarter,IO_SHIP_EST_AUS_017_quarter,IO_SHIP_EST_GLOB_006_quarter,IO_SHIP_VOL_CTF_014_quarter,IO_SHIP_VOL_GLOB_016_quarter,IO_SHIP_VOL_PBB_011_quarter,IO_SHIP_VOL_PBF_009_quarter,M0039354,RE00034182_quarter,RE00035602_quarter,RE00035610_quarter,RE00035620_quarter
数据名称,247家钢铁企业：液态铁：日均产量：中华人民共和国（季度）,PB粉：产量：力拓集团（季度）,PB粉：销售数量：力拓集团（季度）,PB块：产量：力拓集团（季度）,PB块：销售数量：力拓集团（季度）,块矿：85%Fe：销售数量：澳大利亚必和必拓集团（季度）,罗布河粉：产量：力拓集团（季度）,罗布河粉：销售数量：力拓集团（以股份占比计）（季度）,罗布河粉：销售数量：力拓集团（季度）,罗布河块：产量：力拓集团（季度）,罗布河块：销售数量：力拓集团（以股份占比计）（季度）,罗布河块：销售数量：力拓集团（季度）,铁精粉：85%Fe：销售数量：澳大利亚必和必拓集团（季度）,铁矿石：产量：澳大利亚必和必拓集团：100%股权（季度）,铁矿石：产量：巴西北方地区：巴西淡水河谷公司（季度）,铁矿石：产量：巴西东南地区：巴西淡水河谷公司（季度）,铁矿石：产量：巴西南方地区：巴西淡水河谷公司（季度）,铁矿石：加工量：福蒂斯丘金属集团（季度）,铁矿石：产量：力拓集团（以股份占比计）（季度）,铁矿石：销售量合计：澳大利亚必和必拓集团（季度）,铁矿石：销售量合计：全球：巴西淡水河谷公司（季度）,铁矿石：销售数量：中华人民共和国：巴西淡水河谷公司（季度）,铁矿石：销售量合计：力拓集团：力拓皮尔巴拉矿区（季度）,铁矿石：销售量合计：力拓集团（季度）,巴西淡水河谷公司：销售数量：铁矿石（除原矿）（季度）,世界钢铁工业协会：高炉生铁：产量：全球（季度）,铁矿石：产量：力拓皮尔巴拉矿区（季度）,铁矿石：发货量：澳大利亚联邦：力拓集团（季度）,铁矿石：发货量：澳大利亚联邦：福蒂斯丘金属集团（季度）,球团矿：销售数量：全球：巴西淡水河谷公司（季度）,超特粉：到港量：47个港口：福蒂斯丘金属集团：明细（季度）,PB块：到港量：47个港口：力拓集团：明细（季度）,PB粉：到港量：47个港口：力拓集团：明细（季度）,铁矿石：到港量：47个港口（季度）,铁矿石：加工量：铁桥项目：福蒂斯丘金属集团（季度）,铁矿石：澳大利亚联邦产区：发货量（季度）,铁矿石：澳大利亚联邦产区：发货量：澳大利亚联邦→中华人民共和国（季度）,铁矿石非主流矿山到中国发运（季度）,铁矿石全球发中国总量（季度）,铁矿石超特粉发中国（季度）,铁矿石淡水河谷发中国总量（季度）,铁矿石PB块发中国（季度）,铁矿石PB粉发中国（季度）,中国：GDP：不变价：当季同比,卡拉加斯粉：发货量：巴西联邦共和国：明细（季度）,超特粉：发货量：澳大利亚联邦：明细（季度）,PB块：发货量：澳大利亚联邦：明细（季度）,PB粉：发货量：澳大利亚联邦：明细（季度）
2026-03-31 00:00:00,19189.8,35603,32170,26031,16799,19878,3923,2276,4294,2903,1173,2214,38730,69752,33173,19194,10378,47.8,70045,60198,68713,40855,72387,75681,59.4,311628,78813,7282.1,4785.8,7699,2104,1738,3573.8,33558.8,2.3,22584.6,18982.6,10384.7653,30291.1976,1819.3577,3972.0323,1354.3173,2614.6412,5,3001.8,2010,1640.6,3174.6
2025-12-31 00:00:00,21400.75,40606,39448,29678,21362,20595,4538,2615,4934,3155,1371,2588,46314,76326,44776,23864,13504,49.8,80515,69421,84874,53775,91259,95027,73.6,290248,89674,8808.5,5066.9,9056,2188.7,1909.5,4044,35872.6,2.2,25365.7,21651.2,13235.5947,35934.3114,1836.7873,4392.4167,1795.1596,3278.4121,4.5,4171.8,2045.7,2154.7,3940
2025-09-30 00:00:00,21844.69,37917,38477,28545,21142,20250,3631,2233,4214,3138,1330,2510,42180,70246,49737,22721,13783,50.8,74168,64472,85997,55926,84346,88369,75,306319,84104,8173.5,4873.9,8769,1875.2,1629.9,3377.3,33573.9,2.3,23835.7,20238.7,12863.9109,34408.9821,1821.1992,4458.5712,1446.7034,2544.6403,4.8,4291,1989.6,1744.2,3062.5
2025-06-30 00:00:00,22068.48,37954,25849,27374,12967,21285,4303,2638,4977,3169,1385,2614,46545,77480,41222,21059,13089,54.4,73548,69803,77346,48903,79887,84414,67.7,317557,83743,7932.1,5477.5,7483,2130.5,1232.5,2705.1,32909.9,2,24974.4,21542.6,12115.7685,34986.1676,2021.1909,4506.2991,1119.1627,2168.0616,5.2,3874.6,2187,1343.5,2607.1
2025-03-31 00:00:00,19222.14,31334,22434,22452,11997,18822,3778,2232,4211,2899,1159,2187,40412,67844,34420,16105,10591,47.6,62408,60650,66141,39635,70740,74148,56.8,318668,69771,7164.9,4603.7,7493,1826.5,1212.7,2791.1,30405.6,1.3,21746.2,17910.5,9339.6768,28854.4311,1605.9701,3899.5543,1088.4122,2050.8458,5.4,3106.9,1828.9,1380.6,2572.5
2024-12-31 00:00:00,21200.55,40228,29042,27273,16223,20319,5139,3055,5764,3444,1508,2846,44022,73071,51249,19462,8898,51,76102,65818,81196,52404,85678,92063,69.9,308632,86486,8436.5,4781,10067,1968.4,1304.3,2741.2,32769.3,1.7,23301.5,19514.6,10800.9867,32099.8802,1794.367,3870.4935,1201.5805,2293.0367,5.4,4418.6,2026.3,1461,2783.8
2024-09-30 00:00:00,20957.93,38788,31870,26604,17498,19377,4445,2565,4839,2807,1166,2200,44031,71593,49734,21586,12743,48,73160,64390,81838,51169,84550,87349,69.3,310968,84066,8245.7,4710.9,10143,2100,1556.2,3178.8,33123.3,1.4,23316.8,19430.3,13335.0851,36405.449,2207.3183,4629.5639,1453.6363,2667.1311,4.6,4711.5,2302.6,1649.5,3026.2
2024-06-30 00:00:00,21226.8,35932,31336,24416,15832,20260,4982,3095,5839,2916,1337,2522,47063,76773,39056,18973,15254,50.8,69712,68366,79792,50270,80309,87479,68.5,324854,79481,7859,5321,8864,1797.1,1392.2,3028.5,32438.7,1.3,24561.4,20787.6,11054.4302,33012.3953,1733.1635,4071.6651,1258.6311,2425.4706,4.7,3658.4,1961.7,1545,3022.4
2024-03-31 00:00:00,20219.01,34422,28475,23386,15635,19175,5115,2943,5553,2894,1223,2308,42693,68131,35929,19551,15347,42.4,68701,63126,63826,37406,78033,82790,52.5,317581,77938,7589.4,4290.8,9225,1385,1440.7,2890.4,33070.2,0.4,22016.2,18289.7,9751.6328,29273.8323,1301.6834,3939.0995,1132.3463,2126.5651,5.3,3522.2,1458.9,1495,2721.4
