data_date,G0000236,ID00186565_year,ID00186566_year,ID00186567_year,ID00186568_year,ID00313193_year,ID01155774_year,ID01155776_year,ID01562389_year,ID01562396_year,ID01562397_year,ID01565061_year,IO_SHIP_EST_AUS_017_year,IO_SHIP_VOL_CTF_014_year,IO_SHIP_VOL_GLOB_016_year,IO_SHIP_VOL_PBB_011_year,IO_SHIP_VOL_PBF_009_year,RE00034182_year,RE00035602_year,RE00035610_year,RE00035620_year
数据名称,全球：GDP：不变价：同比,铁矿石：发货量：澳大利亚必和必拓集团→中华人民共和国（年度）,铁矿石：发货量：巴西淡水河谷公司→全球（年度）,铁矿石：发货量：福蒂斯丘金属集团→中华人民共和国（年度）,铁矿石：发货量：力拓集团→中华人民共和国（年度）,世界钢铁工业协会：高炉生铁：产量：全球（年度）,铁矿石：发货量：澳大利亚联邦：力拓集团（年度）,铁矿石：发货量：澳大利亚联邦：福蒂斯丘金属集团（年度）,超特粉：到港量：47个港口：福蒂斯丘金属集团：明细（年度）,PB块：到港量：47个港口：力拓集团：明细（年度）,PB粉：到港量：47个港口：力拓集团：明细（年度）,铁矿石：到港量：47个港口（年度）,铁矿石非主流矿山到中国发运（年度）,铁矿石超特粉发中国（年度）,铁矿石淡水河谷发中国总量（年度）,铁矿石PB块发中国（年度）,铁矿石PB粉发中国（年度）,卡拉加斯粉：发货量：巴西联邦共和国：明细（年度）,超特粉：发货量：澳大利亚联邦：明细（年度）,PB块：发货量：澳大利亚联邦：明细（年度）,PB粉：发货量：澳大利亚联邦：明细（年度）
2025-12-31 00:00:00,3.4413,24925.9,29014,18116.1,26330.1,1232792,32079,20022,8020.9,5984.6,12917.5,132762,47554.9509,7285.1475,17256.8413,5449.4379,10041.9598,15444.3,8051.2,6623,12182.1
2024-12-31 00:00:00,3.4163,25071.4,28552.6,17050.8,25943.6,1262035,32130.6,19103.7,7250.5,5693.4,11838.9,131401.5,44942.1348,7036.5322,16510.822,5046.1942,9512.2035,16310.7,7749.5,6150.5,11553.8
2023-12-31 00:00:00,3.3278,24344.9,26972.2,16731.7,26213.7,1282700,32693.2,18738.1,6128.3,7223.4,13680.8,125923.8,43776.5462,5985.0435,15660.2983,6034.3784,10627.8744,15741.5,6711.9,7451.7,13200.4
2022-12-31 00:00:00,3.7739,24273.4,26537.1,17148.4,25188,1281090,31988.4,19047.8,6614,6248.1,14481,122393.1,36728.0719,6314.5146,19385.3403,5333.2413,11027.844,15946.8,7018.8,6743.4,13922.8
2021-12-31 00:00:00,6.6534,24619.1,27782.7,16355.6,25646.9,1322796,32783.8,18240.2,5255.3,6602.5,15974.6,2600.6,35950.5023,4844.3004,19214.6523,5529.126,11293.3282,17559,5518.7,7223.8,14665.9
2020-12-31 00:00:00,-2.707,24681.2,26762.1,16202.6,26067.5,1312619,32973.5,17343.3,,,,,27780.0156,5356.0721,19703.2628,6349.9714,12133.7194,17817.3,5722.4,8030.7,15298.6
2019-12-31 00:00:00,2.9568,22833.6,27021,16452.1,25648.1,1298155,32303.4,16812.2,,,,,,6207.1948,,6563.4755,11692.9498,17195.3,6328.01,8296.1,14661.6
2018-12-31 00:00:00,3.6427,23096.33,35291.2,16792.74,26596.81,1237548,16073.35,8051.11,,,,,,90,,117.7311,311.9954,,90,148.6,393.8
2017-12-31 00:00:00,3.8423,21155.4,31986.11,16331.6,26465.57,1205009,,,,,,,,,,,,,,,
