data_date,2c616137-d41c-4c27-9e2a-7ebda4455e30,92346,CM0000285625,CM0000519844,G0002323,ID00186565_month,ID00313187,ID00313190,ID00313193,ID00313194,ID00313197,ID00313198,ID00313199,ID00313200,ID00313206,ID00313215,ID00313217,ID00313230,ID01029285,ID01155775_month,ID01155776_month,ID01168294_month,ID01464573,ID01464575,ID01562146_month,ID01562389_month,ID01562396_month,ID01562397_month,ID01562398_month,ID01565061_month,ID01722074,ID01722075,ID01722076,ID01722077,IO_SHIP_EST_AUS_017_month,IO_SHIP_EST_GLOB_006_month,IO_SHIP_VOL_CTF_014_month,IO_SHIP_VOL_GLOB_016_month,IO_SHIP_VOL_PBB_011_month,IO_SHIP_VOL_PBF_009_month,M0000070,M0000071,M0000357,M0000612,M0001227,M0001382,M0001384,M0017126,M5525763,M5531328,RE00034182_month,RE00035602_month,RE00035610_month,RE00035620_month,S0027374,S0028202,S0028206,S0028210,S0029325,S0029332,S0029339,S0029346,S0029353,S0029360,S0029367,S0029374,S0029381,S0029388,S0029395,S0029402,S0029409,S0029416,S0029423,S0029430,S0029437,S0029444,S0029451,S0029465,S0029472,S0029479,S0029486,S0029500,S0029507,S0029514,S0029521,S0029528,S0029656,S0029658,S0029668,S0029669,S0029670,S0063581,S0063582,S0063583,S0063584,S0063585,S0063586,S0063587,S0063588,S0063589,S0063590,S0063591,S0063592,S0063593,S0063594,S0063595,S0063596,S0063597,S0063598,S0063599,S0063601,S0063602,S0063603,S0063604,S0063605,S0063606,S0063607,S0063608,S0063609,S0073088
,中国生铁月度产量（国家统计局）,中国汽车月度产量,铁矿石：进口数量：巴西联邦共和国→中华人民共和国（月度）,钢材：出口数量合计：中华人民共和国（月度）,美国：ISM：制造业PMI,铁矿石：发货量：澳大利亚必和必拓集团→中华人民共和国（月度）,世界钢铁工业协会：高炉生铁：产量：中华人民共和国（月度）,世界钢铁工业协会：高炉生铁：产量：亚洲（月度）,世界钢铁工业协会：高炉生铁：产量：全球（月度）,世界钢铁工业协会：高炉生铁：产量：欧洲其他国家（月度）,世界钢铁工业协会：高炉生铁：产量：北美地区（月度）,世界钢铁工业协会：高炉生铁：产量：南美洲（月度）,世界钢铁工业协会：高炉生铁：产量：非洲南部（月度）,世界钢铁工业协会：高炉生铁：产量：印度共和国（月度）,世界钢铁工业协会：高炉生铁：产量：大洋洲（月度）,世界钢铁工业协会：高炉生铁：产量：日本国（月度）,世界钢铁工业协会：高炉生铁：产量：欧盟27国（月度）,世界钢铁工业协会：高炉生铁：产量：大韩民国（月度）,世界钢铁工业协会：高炉生铁：产量：欧盟其他国家（月度）,铁矿石：发货量：澳大利亚联邦：澳大利亚必和必拓集团（月度）,铁矿石：发货量：澳大利亚联邦：福蒂斯丘金属集团（月度）,铁矿石：发货量：全球（月度）,澳洲&巴西铁矿石：发货量（月度）,液态铁：247家钢铁企业：产量：中华人民共和国（月度）,铁矿石：到港量：澳大利亚联邦：47个港口：明细（月度）,超特粉：到港量：47个港口：福蒂斯丘金属集团：明细（月度）,PB块：到港量：47个港口：力拓集团：明细（月度）,PB粉：到港量：47个港口：力拓集团：明细（月度）,卡拉加斯粉：到港量：47个港口：巴西淡水河谷公司：明细（月度）,铁矿石：到港量：47个港口（月度）,我的钢铁网：高炉生铁：日均产量：全球（不含中国大陆）（月度）,我的钢铁网：高炉生铁：产量：全球（不含中国大陆）（月度）,我的钢铁网：高炉生铁：日均产量：全球（月度）,我的钢铁网：高炉生铁：产量：全球（月度）,铁矿石非主流矿山到中国发运（月度）,铁矿石全球发中国总量（月度）,铁矿石超特粉发中国（月度）,铁矿石淡水河谷发中国总量（月度）,铁矿石PB块发中国（月度）,铁矿石PB粉发中国（月度）,中国：工业增加值：规模以上工业企业：黑色金属冶炼及压延加工业：当月同比,中国：工业增加值：规模以上工业企业：黑色金属冶炼及压延加工业：累计同比,中国：固定资产投资完成额：制造业：累计同比,中国：CPI：当月同比,中国：PPI：当月同比,中国：M1,中国：M2,中国：制造业PMI,中国：社会融资规模存量：同比,中国固定资产投资完成额：基础设施投资额：累计同比,卡拉加斯粉：发货量：巴西联邦共和国：明细（月度）,超特粉：发货量：澳大利亚联邦：明细（月度）,PB块：发货量：澳大利亚联邦：明细（月度）,PB粉：发货量：澳大利亚联邦：明细（月度）,中国：产量：粗钢：当月值,中国：产量：空调：当月值,中国：产量：家用电冰箱：当月值,中国：产量：家用洗衣机：当月值,天津：产量：粗钢：当月值,河北：产量：粗钢：当月值,山西：产量：粗钢：当月值,内蒙古：产量：粗钢：当月值,辽宁：产量：粗钢：当月值,吉林：产量：粗钢：当月值,黑龙江：产量：粗钢：当月值,上海：产量：粗钢：当月值,江苏：产量：粗钢：当月值,浙江：产量：粗钢：当月值,安徽：产量：粗钢：当月值,福建：产量：粗钢：当月值,江西：产量：粗钢：当月值,山东：产量：粗钢：当月值,河南：产量：粗钢：当月值,湖北：产量：粗钢：当月值,湖南：产量：粗钢：当月值,广东：产量：粗钢：当月值,广西：产量：粗钢：当月值,重庆：产量：粗钢：当月值,四川：产量：粗钢：当月值,贵州：产量：粗钢：当月值,云南：产量：粗钢：当月值,陕西：产量：粗钢：当月值,甘肃：产量：粗钢：当月值,青海：产量：粗钢：当月值,宁夏：产量：粗钢：当月值,新疆：产量：粗钢：当月值,中国：房地产开发投资完成额：累计值,中国：商品房销售面积：累计值,中国：房屋施工面积：累计值,中国：房屋新开工面积：累计值,中国：房屋竣工面积：累计值,天津：产量：生铁：当月值,河北：产量：生铁：当月值,山西：产量：生铁：当月值,内蒙古：产量：生铁：当月值,辽宁：产量：生铁：当月值,吉林：产量：生铁：当月值,黑龙江：产量：生铁：当月值,上海：产量：生铁：当月值,江苏：产量：生铁：当月值,浙江：产量：生铁：当月值,安徽：产量：生铁：当月值,福建：产量：生铁：当月值,江西：产量：生铁：当月值,山东：产量：生铁：当月值,河南：产量：生铁：当月值,湖北：产量：生铁：当月值,湖南：产量：生铁：当月值,广东：产量：生铁：当月值,广西：产量：生铁：当月值,重庆：产量：生铁：当月值,四川：产量：生铁：当月值,贵州：产量：生铁：当月值,云南：产量：生铁：当月值,陕西：产量：生铁：当月值,甘肃：产量：生铁：当月值,青海：产量：生铁：当月值,宁夏：产量：生铁：当月值,新疆：产量：生铁：当月值,中国：产量：挖掘机：当月值
2026-05-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5238.4431,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-30,,,,,52.7,1846.6,,,,,,,,,,,,,,2278.6,1436.2,12612,11204,7176,5890.7,571,446.4,999.3,878.2,9582.7,116.88,3506.4,356.08,10682.4,3464.1314,,576.7404,1295.0045,456.3146,880.3476,,,,1.2,2.8,,,50.3,,,968.4,617.6,567.1,1091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-04-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10022.0359,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-31,7328,,17129100.876,9134906.845,52.7,1666.4,73280,91493,108028,1188,2300,2452,140,8717,322,4909,5304,3737,907,2063.7,1469.6,11563.3,10298,7098,6620.7,715.1,570.4,1204.4,566.4,10024.3,116.62,3615.14,345.59,10713.14,3908.3061,,686.2554,1545.2802,501.6077,1057.0423,1.7,2.1,4.1,1,0.5,1193202.99,3538636.53,50.4,7.9,,846.1,631.9,425.6,992.4,8704.4,3455.3,1093.9,1155.8,136.44,1868.36,498.35,221.84,522.81,101.42,83.5,121.11,1074.33,130.86,331.49,314.67,228.88,605.51,248.21,280.06,207.34,361.31,450,86.59,269.27,37.24,178.79,76.43,104.75,14.37,37.07,113.38,17719.91,19524.95,541737.38,10372.9,9789.32,184.33,1682.7,470.42,129.33,485.39,100.63,74.81,113.46,888.08,76.46,270.76,114.09,198.3,625.57,277.72,238.39,191.57,193.41,336.35,58.87,176.42,27.19,119.67,65.31,76.73,13.61,38.94,99.29,48427
2026-03-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-03-01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11366.8863,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-28,6534.9,,21673664.446,7837462.874,52.4,1663.7,65349,81676,96496,1079,2110,2160,125,7616,307,4558,4739,3383,815,2022,1377.9,11886.8,9572,6476,5766.2,570.1,441.3,919,786.2,9502.4,117.85,3299.74,349.13,9775.74,3182.3407,,553.6333,1206.5928,429.5775,740.2301,,2.2,3.1,1.3,-0.9,1159258.82,3492159.91,49,8.2,11.4,1070.3,592.5,563,968.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,9612.11,9293.43,535372.16,5083.9,6320.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2026-02-27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
