data_date,biz_top4_ship_total,biz_Rio_ratio,biz_BHP_ratio,biz_FMG_ratio,biz_Vale_ratio,biz_inv_discharge_ratio,biz_util_change,biz_util_MA7,biz_util_MA30,biz_util_trend,biz_ore_daily_return,biz_ore_vol_30d,biz_steel_ore_spread,biz_steel_ore_ratio,biz_profit_change,biz_profit_MA7,biz_scrap_spread,biz_scrap_arrive,biz_arrival_change_7d,biz_au_ship_change_7d
data_date,四大矿山发运总量,Rio占四大矿山比,BHP占四大矿山比,FMG占四大矿山比,Vale占四大矿山比,库存_疏港量比率,产能利用率日度变化,产能利用率MA7,产能利用率MA30,产能利用率趋势,铁矿石日度收益率,铁矿石30日波动率,普钢_铁矿石价差,普钢_铁矿石比价,高炉利润日度变化,高炉利润MA7,废钢铁水价差,废钢到货量,到港量7日变化,澳洲发货7日变化
2015/12/25,,,,,,1.000000,,,,,,,2005.810059,52.273262,,,,,,
2015/12/26,,,,,,1.000000,0.000000,,,,0.000000,,2005.810059,52.273262,,,,,,
2015/12/27,,,,,,1.000000,0.000000,76.519997,,,0.000000,,2005.810059,52.273262,,,,,,
2015/12/28,,,,,,1.000000,0.000000,76.519997,,,0.000767,,2007.260010,52.271008,,,,,,
2015/12/29,,,,,,1.000000,0.000000,76.519997,,,0.004087,,2012.930054,52.206562,,,,,,
2015/12/30,,,,,,1.000000,0.000000,76.519997,,,0.000000,,2029.079834,52.617393,,,,,,
2015/12/31,,,,,,1.000000,0.000000,76.519997,,,0.006868,,2040.650024,52.557606,,,,,,
2016/1/1,,,,,,1.000000,1.430000,76.724289,,,0.000000,,2040.650024,52.557606,,,,,-1.000000,-298.500000
2016/1/2,,,,,,1.000000,0.000000,76.928574,,,0.000000,,2040.650024,52.557606,,,,,-1.000000,-298.500000
2016/1/3,,,,,,1.000000,0.000000,77.132858,76.948997,1.002389,0.000000,,2040.650024,52.557606,,,,,-1.000000,-298.500000
2016/1/4,,,,,,1.000000,0.000000,77.337143,77.040001,1.003857,0.053562,0.016691,2080.280029,50.886810,,,,,-1.000000,-298.500000
2016/1/5,,,,,,1.000000,0.000000,77.541428,77.115837,1.005519,-0.004317,0.016168,2093.449951,51.420280,,,,,-1.000000,-298.500000
2016/1/6,,,,,,1.000000,0.000000,77.745712,77.180000,1.007330,-0.014451,0.016461,2094.870117,52.194283,,,,,-1.000000,-298.500000
2016/1/7,,,,,,1.000000,0.000000,77.949997,77.235001,1.009257,0.000733,0.015784,2090.229980,52.043468,,,,,-1.000000,-298.500000
2016/1/8,,,,,,1.000000,1.130000,78.111427,77.358002,1.009740,-0.008059,0.015484,2085.129883,52.332596,,,,,,20.600000
2016/1/9,,,,,,1.000000,0.000000,78.272858,77.465622,1.010421,0.000000,0.014938,2085.129883,52.332596,,,,,13.000000,20.600000
2016/1/10,,,,,,1.000000,0.000000,78.434288,77.560585,1.011265,0.000000,0.014446,2085.129883,52.332596,,,,,13.000000,20.600000
2016/1/11,,,,,,1.000000,0.000000,78.595711,77.644997,1.012244,-0.015756,0.014668,2077.419922,52.961479,,,,,13.000000,20.600000
2016/1/12,,,,,,1.000000,0.000000,78.757141,77.720528,1.013338,-0.012506,0.014601,2070.850098,53.453140,,,,,13.000000,20.600000
2016/1/13,,,,,,1.000000,0.000000,78.918571,77.788498,1.014528,0.010132,0.014357,2064.189941,52.760029,,,,,13.000000,20.600000
2016/1/14,,,,,,1.000000,0.000000,79.080002,77.849998,1.015800,0.006269,0.014022,2061.270020,52.364815,,,,,13.000000,20.600000
2016/1/15,,,,,,1.000000,-0.580000,78.997147,77.879547,1.014350,0.007974,0.013743,2064.170166,52.030167,,,,,,-15.700000
2016/1/16,,,,,,1.000000,0.000000,78.914284,77.906525,1.012936,0.000000,0.013416,2064.170166,52.030167,,,,,-11.000000,-15.700000
2016/1/17,,,,,,1.000000,0.000000,78.831429,77.931252,1.011551,0.000000,0.013112,2064.170166,52.030167,,,,,-11.000000,-15.700000
2016/1/18,,,,,,1.000000,0.000000,78.748573,77.954002,1.010193,0.033375,0.014377,2078.020020,50.713398,,,,,-11.000000,-15.700000
2016/1/19,,,,,,1.000000,0.000000,78.665718,77.974998,1.008858,-0.006938,0.014210,2085.469971,51.240185,,,,,-11.000000,-15.700000
2016/1/20,,,,,,1.000000,0.000000,78.582855,77.994446,1.007544,-0.018791,0.014534,2085.750000,52.209183,,,,,-11.000000,-15.700000
2016/1/21,,,,,,1.000000,0.000000,78.500000,78.012497,1.006249,0.004665,0.014263,2081.979980,51.879276,,,,,-11.000000,-15.700000
2016/1/22,,,,,,1.000000,-0.680000,78.402855,78.005859,1.005089,0.003666,0.014001,2077.340088,51.580471,,,,,,22.600000
2016/1/23,,,,,,1.000000,0.000000,78.305717,77.999664,1.003924,0.000000,0.013753,2077.340088,51.580471,,,,,-1.000000,22.600000
2016/1/24,,,,,,1.000000,0.000000,78.208572,78.042999,1.002122,0.000000,0.013518,2077.340088,51.580471,,,,,-1.000000,22.600000
2016/1/25,,,,,,1.000000,0.000000,78.111427,78.086334,1.000321,-0.002678,0.013538,2074.169922,51.638912,,,,,-1.000000,22.600000
2016/1/26,,,,,,1.000000,0.000000,78.014282,78.129669,0.998523,0.001709,0.013535,2073.590088,51.538391,,,,,-1.000000,22.600000
2016/1/27,,,,,,1.000000,0.000000,77.917145,78.172997,0.996727,0.002925,0.013536,2072.570068,51.366222,,,,,-1.000000,22.600000
2016/1/28,,,,,,1.000000,0.000000,77.820000,78.216331,0.994933,0.000729,0.013529,2072.370117,51.324673,,,,,-1.000000,22.600000
2016/1/29,,,,,,1.000000,0.410000,77.878571,78.273331,0.994957,-0.000243,0.013530,2072.149902,51.331551,,,,,-2.000000,
2016/1/30,,,,,,1.000000,0.000000,77.937141,78.330330,0.994980,0.000000,0.013497,2072.149902,51.331551,,,,,-2.000000,-486.000000
2016/1/31,,,,,,1.000000,0.000000,77.995712,78.339668,0.995609,0.000000,0.013497,2072.149902,51.331551,,,,,-2.000000,-486.000000
2016/2/1,,,,,,1.000000,0.000000,78.054283,78.348999,0.996238,0.038135,0.015065,2069.909912,49.430275,,,,,-2.000000,-486.000000
2016/2/2,,,,,,1.000000,0.000000,78.112854,78.358330,0.996867,0.013102,0.015175,2068.969971,48.782219,,,,,-2.000000,-486.000000
2016/2/3,,,,,,1.000000,0.000000,78.171425,78.367668,0.997496,0.006236,0.011843,2068.870117,48.483818,,,,,-2.000000,-486.000000
2016/2/4,,,,,,1.000000,0.000000,78.230003,78.376999,0.998124,0.015607,0.012060,2068.149902,47.737854,,,,,-2.000000,-486.000000
2016/2/5,,,,,,1.000000,0.000000,78.230003,78.386330,0.998006,-0.004520,0.011719,2068.320312,47.953922,,,,,5.000000,
2016/2/6,,,,,,1.000000,0.000000,78.230003,78.395668,0.997887,0.000000,0.011724,2068.320312,47.953922,,,,,5.000000,328.500000
2016/2/7,,,,,,1.000000,0.000000,78.230003,78.367332,0.998248,0.000000,0.011564,2068.320312,47.953922,,,,,5.000000,328.500000
2016/2/8,,,,,,1.000000,0.000000,78.230003,78.338997,0.998609,0.004540,0.011557,2068.120117,47.737179,,,,,5.000000,328.500000
2016/2/9,,,,,,1.000000,0.000000,78.230003,78.310669,0.998970,-0.011299,0.011836,2068.620117,48.282749,,,,,5.000000,328.500000
2016/2/10,,,,,,1.000000,0.000000,78.230003,78.282333,0.999332,-0.012800,0.011690,2069.180176,48.908779,,,,,5.000000,328.500000
2016/2/11,,,,,,1.000000,0.000000,78.230003,78.253998,0.999693,-0.004399,0.011418,2069.370117,49.124889,,,,,5.000000,328.500000
2016/2/12,,,,,,1.000000,-0.230000,78.197144,78.218002,0.999733,0.000000,0.011347,2069.370117,49.124889,,,,,-2.000000,116.000000
2016/2/13,,,,,,1.000000,0.000000,78.164284,78.181999,0.999773,0.000000,0.011334,2069.370117,49.124889,,,,,-2.000000,116.000000
2016/2/14,,,,,,1.000000,0.000000,78.131432,78.165337,0.999566,0.000000,0.011291,2069.570068,49.129536,,,,,-2.000000,116.000000
2016/2/15,,,,,,1.000000,0.000000,78.098572,78.148666,0.999359,0.039302,0.013164,2071.469971,47.351982,,,,,-2.000000,116.000000
2016/2/16,,,,,,1.000000,0.000000,78.065712,78.132004,0.999152,-0.001343,0.013178,2077.189941,47.542461,,,,,-2.000000,116.000000
2016/2/17,,,,,,1.000000,0.000000,78.032860,78.115334,0.998944,0.002017,0.011897,2087.840088,47.686939,,,,,-2.000000,116.000000
2016/2/18,,,,,,1.000000,0.000000,78.000000,78.098663,0.998737,0.011181,0.011871,2099.409912,47.426579,,,,,-2.000000,116.000000
2016/2/19,,,,,,,-0.080000,77.988571,78.079330,0.998838,0.019018,0.011487,2105.780273,46.698357,,,,,-5.000000,-7.200000
2016/2/20,,,,,,1.000000,0.000000,77.977142,78.059998,0.998939,0.000000,0.011512,2105.780273,46.698357,,,,,-5.000000,-7.200000
2016/2/21,,,,,,1.000000,0.000000,77.965714,78.063332,0.998749,0.000000,0.011535,2105.780273,46.698357,,,,,-5.000000,-7.200000
2016/2/22,,,,,,1.000000,0.000000,77.954285,78.066666,0.998560,0.014540,0.011670,2137.600098,46.724064,,,,,-5.000000,-7.200000
2016/2/23,,,,,,1.000000,0.000000,77.942856,78.070000,0.998371,-0.000856,0.011682,2152.989990,47.092701,,,,,-5.000000,-7.200000
