列ID,列名,分组,有效样本数
ID02017483,铁矿石：进口：库存：华北地区：45个港口（周度）,标的(Y变量),3756
ID02017488,铁矿石：进口：库存：华南地区：45个港口（周度）,标的(Y变量),3750
ID02017501,铁矿石：进口：库存：长江沿江地区：45个港口（周度）,标的(Y变量),3751
ID00414945,铁矿石：进口：库存：华东地区：45个港口（周度）,标的(Y变量),3752
ID00186052,铁矿石：进口：库存：45个港口（周度）,标的(Y变量),3752
ID00186278,块矿：库存：45个港口（周度）,标的(Y变量),3758
ID01135139,粗粉：进口：库存：45个港口（周度）,标的(Y变量),3750
ID00186491,铁精粉：库存：45个港口（周度）,标的(Y变量),3762
ID00186318,球团矿：进口：库存：45个港口（周度）,标的(Y变量),3750
ID01602638,铁矿石：发运量：力拓集团→中华人民共和国（日度）,供应-发运,2320
ID01602675,铁矿石：发运量：澳大利亚必和必拓集团→中华人民共和国（日度）,供应-发运,2321
ID01602693,铁矿石：发运量：巴西淡水河谷公司→中华人民共和国（日度）,供应-发运,2321
ID01975885,我的钢铁网：热轧板卷：高炉：现金利润：中华人民共和国（日度）,价格-价差利润,1579
ID00183109,247家钢铁企业：高炉开工率：中华人民共和国（周度）,需求-开工率,3769
ID00183114,247家钢铁企业：高炉产能利用率：中华人民共和国（周度）,需求-开工率,3762
ID00185861,铁矿石：巴西联邦共和国产区：库存：45个港口（周度）,标的(Y变量),3756
ID00185931,贸易矿：进口：库存：45个港口（周度）,标的(Y变量),3760
ID00186098,铁矿石：进口：日均疏港量合计：31个港口（同口径）（周度）,需求-疏港,3754
ID00186099,铁矿石：进口：日均疏港量合计：41个港口（周度）,需求-疏港,3753
ID00186100,铁矿石：进口：日均疏港量合计：45个港口（周度）,标的(Y变量),3754
ID00186103,铁矿石：进口：日均疏港量：曹妃甸港（周度）,需求-疏港,3747
ID00186111,铁矿石：进口：日均疏港量：黄骅港（周度）,需求-疏港,3748
ID00186112,铁矿石：进口：日均疏港量：江阴港（周度）,需求-疏港,3754
ID00186114,铁矿石：进口：日均疏港量：京唐港（周度）,需求-疏港,3751
ID00186116,铁矿石：进口：日均疏港量：岚桥港（周度）,需求-疏港,3756
ID00186117,铁矿石：进口：日均疏港量：岚山港（周度）,需求-疏港,3761
ID00186119,铁矿石：进口：日均疏港量：龙口港（周度）,需求-疏港,3747
ID00186130,铁矿石：进口：日均疏港量：青岛港（周度）,需求-疏港,3738
ID00186132,铁矿石：进口：日均疏港量：日照港（周度）,需求-疏港,3750
ID00186138,铁矿石：进口：日均疏港量：天津港（周度）,需求-疏港,3765
ID00186565,铁矿石：发货量：澳大利亚必和必拓集团→中华人民共和国（周度）,供应-发货量,3751
ID00186568,铁矿石：发货量：力拓集团→中华人民共和国（周度）,供应-发货量,3751
ID01155775,铁矿石：发货量：澳大利亚联邦：澳大利亚必和必拓集团（周度）,供应-发货量,2837
ID01203829,铁矿石：到港量：巴西联邦共和国：45个港口：明细（周度）,标的(Y变量),2178
ID01203836,铁矿石：到港量：乌克兰：45个港口：明细（周度）,标的(Y变量),2174
ID01204598,麦克粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2664
ID01204634,麦克粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2656
ID01204797,金布巴粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2662
ID01204800,纽曼粉：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2666
ID01204802,纽曼块：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2660
ID01204805,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）,供应-到港,2665
ID01204812,PB块：到港量：青岛港：力拓集团：明细（周度）,供应-到港,2668
ID01204813,铁矿石：到港量：青岛港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2662
ID01204815,铁矿石：到港量：青岛港：巴西淡水河谷公司：明细（周度）,供应-到港,2664
ID01204817,铁矿石：到港量：青岛港：力拓集团：明细（周度）,供应-到港,2668
ID01204822,FMG块矿：到港量：青岛港：福蒂斯丘金属集团：明细（周度）,供应-到港,2668
ID01204828,卡拉加斯粉：到港量：青岛港：巴西淡水河谷公司：明细（周度）,供应-到港,2667
ID01204829,PB粉：到港量：青岛港：力拓集团：明细（周度）,供应-到港,2661
ID01205015,纽曼粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2670
ID01205017,金布巴粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2664
ID01205020,FMG混合粉：到港量：江阴港：福蒂斯丘金属集团：明细（周度）,供应-到港,2659
ID01205023,铁矿石：到港量：江阴港：力拓集团：明细（周度）,供应-到港,2674
ID01205029,纽曼块：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2654
ID01205035,PB粉：到港量：江阴港：力拓集团：明细（周度）,供应-到港,2665
ID01205042,铁矿石：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2671
ID01205043,FMG块矿：到港量：江阴港：福蒂斯丘金属集团：明细（周度）,供应-到港,2670
ID01205045,卡拉加斯粉：到港量：江阴港：巴西淡水河谷公司：明细（周度）,供应-到港,2658
ID01205048,PB块：到港量：江阴港：力拓集团：明细（周度）,供应-到港,2658
ID01205049,纽曼块：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2668
ID01205052,麦克粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2666
ID01205055,FMG混合粉：到港量：曹妃甸港：福蒂斯丘金属集团：明细（周度）,供应-到港,2664
ID01205057,纽曼粉：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2666
ID01205061,铁矿石：到港量：曹妃甸港：澳大利亚必和必拓集团：明细（周度）,供应-到港,2662
ID01205062,铁矿石：到港量：曹妃甸港：力拓集团：明细（周度）,供应-到港,2664
