列ID,列名,分组,是否核心因子,有效样本数,均值
ID02017483,铁矿石：进口：库存：华北地区：45个港口（周度）,标的(Y变量),是,3756,4146.793357
ID02017488,铁矿石：进口：库存：华南地区：45个港口（周度）,标的(Y变量),是,3750,949.933043
ID02017501,铁矿石：进口：库存：长江沿江地区：45个港口（周度）,标的(Y变量),是,3751,2034.088496
ID00414945,铁矿石：进口：库存：华东地区：45个港口（周度）,标的(Y变量),是,3752,5532.771173
ID00186052,铁矿石：进口：库存：45个港口（周度）,标的(Y变量),是,3752,13371.765997
ID00186278,块矿：库存：45个港口（周度）,标的(Y变量),是,3758,1822.940478
ID01135139,粗粉：进口：库存：45个港口（周度）,标的(Y变量),是,3750,10132.548995
ID00186491,铁精粉：库存：45个港口（周度）,标的(Y变量),是,3762,947.465201
ID00186318,球团矿：进口：库存：45个港口（周度）,标的(Y变量),是,3750,464.754397
ID01512800,块矿：进口：库存：47个港口（周度）,标的(Y变量),否,1591,1857.559158
ID01868329,粗粉：库存：47个港口（周度）,标的(Y变量),否,1348,11142.321921
ID01512783,铁精粉：进口：库存：47个港口（周度）,标的(Y变量),否,1591,1169.748699
ID01512793,球团矿：进口：库存：47个港口（周度）,标的(Y变量),否,1593,549.698301
ID01512786,铁矿石：进口：库存：47个港口（周度）,标的(Y变量),否,1589,14787.946344
ID01517120,PB粉：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3214,168.984512
ID01517067,PB粉：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3213,118.060218
ID01516906,PB粉：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3210,44.658903
ID01516560,PB块：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3218,81.426200
ID01516505,PB块：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3212,24.025324
ID01516418,PB块：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3209,12.758891
ID01517102,超特粉：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3206,135.706235
ID01517011,超特粉：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3212,138.057416
ID01516873,超特粉：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3214,20.840865
ID01517226,卡拉加斯粉：港口库存：华东地区：青岛港：明细（周度）,标的(Y变量),否,3215,519.468009
ID01517224,卡拉加斯粉：港口库存：华北地区：曹妃甸港：明细（周度）,标的(Y变量),否,3215,160.055863
ID01517220,卡拉加斯粉：港口库存：长江沿江地区：江阴港：明细（周度）,标的(Y变量),否,3216,17.881636
ID01515465,铁精粉：港口库存：乌克兰→华东地区：岚山港：明细（周度）,标的(Y变量),否,3213,34.187762
0d3672c8-272f-4c2a-bedf-fe3d44b8a214,华东废钢铁日度铁水-废钢价差,需求-生铁粗钢,否,3177,-45.589235
C7937622,中国：10年期国债期货隐含利率：主连,宏观-货币,否,3754,2.900315
D7577252,美国：联储观察工具：联邦公开市场委员会会议目标利率变动可能性：下降,宏观-货币,否,1558,2.471059
F9822336,美国：联储观察工具：联邦公开市场委员会会议目标利率变动可能性：上升,宏观-货币,否,1558,36.328318
O4743804,美国：联储观察工具：联邦公开市场委员会会议目标利率变动可能性：持平,宏观-货币,否,1554,47.507754
G0000891,美国：国债收益率：10年,其他,否,3782,2.748236
G0001699,美国：有效联邦基金利率(EFFR),宏观-货币,否,3758,2.232847
ID00187733,我的钢铁网普钢价格指数：绝对价格指数：普钢（日度）,价格-矿石价格,否,3767,4038.325510
