列ID,列名,类型
year,year,time
month,month,time
day,day,time
quarter,quarter,time
dayofweek,dayofweek,time
dayofyear,dayofyear,time
weekofyear,weekofyear,factor
month_1,month_1,time
month_2,month_2,time
month_3,month_3,time
month_4,month_4,time
month_5,month_5,time
month_6,month_6,time
month_7,month_7,time
month_8,month_8,time
month_9,month_9,time
month_10,month_10,time
month_11,month_11,time
quarter_1,quarter_1,time
quarter_2,quarter_2,time
quarter_3,quarter_3,time
month_sin,month_sin,time
month_cos,month_cos,time
quarter_sin,quarter_sin,time
quarter_cos,quarter_cos,time
spring_before_15d,spring_before_15d,time
spring_during,spring_during,time
spring_after_15d,spring_after_15d,time
heating_season,heating_season,time
month_start,month_start,time
month_end,month_end,time
target_lag_1,标的滞后1日,target
target_lag_2,标的滞后2日,target
target_lag_3,标的滞后3日,target
target_lag_5,标的滞后5日,target
target_lag_7,标的滞后7日,target
target_lag_14,标的滞后14日,target
target_lag_21,标的滞后21日,target
target_lag_30,标的滞后30日,target
target_lag_60,标的滞后60日,target
target_lag_90,标的滞后90日,target
target_lag_180,标的滞后180日,target
target_lag_365,标的滞后365日,target
target_diff_1,标的差分(lag=1),target
target_diff_7,标的差分(lag=7),target
target_pct_1,标的变化率(lag=1),target
target_pct_7,标的变化率(lag=7),target
ID01204805_lag_7,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_lag7,factor
ID01204805_lag_30,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_lag30,factor
ID01204805_diff_7,FMG混合粉：到港量：青岛港：福蒂斯丘金属集团：明细（周度）_diff_7,factor
ID02017485_lag_14,铁矿石：进口：日均疏港量：长江沿江地区：45个港口（周度）_lag14,factor
ID02017485_diff_1,铁矿石：进口：日均疏港量：长江沿江地区：45个港口（周度）_diff_1,factor
ID02017485_diff_7,铁矿石：进口：日均疏港量：长江沿江地区：45个港口（周度）_diff_7,factor
ID01205073_diff_1,卡拉加斯粉：到港量：曹妃甸港：巴西淡水河谷公司：明细（周度）_diff_1,factor
ID01562375_lag_14,金布巴粉：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）_lag14,factor
ID01562375_diff_1,金布巴粉：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）_diff_1,factor
ID01562375_pct_1,金布巴粉：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）_pct_1,factor
ID01562375_pct_7,金布巴粉：到港量：47个港口：澳大利亚必和必拓集团：明细（周度）_pct_7,factor
ID01562396_month_lag_3,PB块：到港量：47个港口：力拓集团：明细（月度）_lag3,factor
ID00186280_lag_14,罗布河粉：产量：力拓集团（季度）_lag14,factor
ID00186278_lag_1,块矿：库存：45个港口（周度）_lag1,factor
ID00186278_diff_1,块矿：库存：45个港口（周度）_diff_1,factor
ID00186278_diff_7,块矿：库存：45个港口（周度）_diff_7,factor
ID01517032_lag_14,FMG混合粉：港口库存：华北地区：曹妃甸港：明细（周度）_lag14,factor
ID01517032_lag_30,FMG混合粉：港口库存：华北地区：曹妃甸港：明细（周度）_lag30,factor
ID01517032_diff_1,FMG混合粉：港口库存：华北地区：曹妃甸港：明细（周度）_diff_1,factor
ID01517032_pct_1,FMG混合粉：港口库存：华北地区：曹妃甸港：明细（周度）_pct_1,factor
ID01204634_lag_1,麦克粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_lag1,factor
ID01204634_lag_30,麦克粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_lag30,factor
ID01204634_diff_1,麦克粉：到港量：江阴港：澳大利亚必和必拓集团：明细（周度）_diff_1,factor
