number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_learning_rate,params_max_depth,params_min_child_samples,params_n_estimators,params_num_leaves,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,user_attrs_mape,user_attrs_mda,state,mda,mape,best_iteration
0,0.15555555555555556,01:41.9,01:47.8,0 days 00:00:05.929236,0.5290418060840998,0.1205712628744377,15,19,1238,105,0.6245760287469887,0.002570603566117596,0.5779972601681014,159,0.0033382572588011353,0.8444444444444444,COMPLETE,0.8444444444444444,0.0033382572588011353,159
1,0.0888888888888889,01:47.8,01:48.8,0 days 00:00:00.982651,0.5917022549267169,0.27081608642499677,3,25,1682,185,5.472429642032189e-06,0.00052821153945323,0.5909124836035503,54,0.0036854197281903605,0.9111111111111111,COMPLETE,0.9111111111111111,0.0036854197281903605,54
2,0.11111111111111116,01:48.8,01:52.4,0 days 00:00:03.543819,0.728034992108518,0.08012737503998542,6,33,365,119,0.11656915613247415,6.267062696005991e-07,0.6831809216468459,193,0.0023606861383019323,0.8888888888888888,COMPLETE,0.8888888888888888,0.0023606861383019323,193
3,0.1444444444444445,01:52.4,02:23.5,0 days 00:00:31.142527,0.9744427686266666,0.011711509955524094,10,21,1254,138,4.905556676028766,0.1886149587855396,0.5325257964926398,922,0.002763417831822543,0.8555555555555555,COMPLETE,0.8555555555555555,0.002763417831822543,922
4,0,02:23.5,02:25.1,0 days 00:00:01.630712,0.5171942605576092,0.1024932221692416,4,16,936,88,1.5271567592511939,2.133142332373e-06,0.7475884550556351,122,0.002173240454697535,1,COMPLETE,1,0.002173240454697535,122
5,0.033333333333333326,02:25.1,02:28.7,0 days 00:00:03.531949,0.8875664116805573,0.05864129169696527,7,22,1139,174,2.8542399074977594,1.1309571585271492,0.9847923138822793,81,0.0024857163800069927,0.9666666666666667,COMPLETE,0.9666666666666667,0.0024857163800069927,81
6,0.1444444444444445,02:28.7,02:56.8,0 days 00:00:28.138513,0.6943386448447411,0.01351182947645082,14,9,472,159,2.7678419414850017e-06,0.287499823474079,0.6626651653816322,427,0.002891947259435166,0.8555555555555555,COMPLETE,0.8555555555555555,0.002891947259435166,427
7,0.033333333333333326,02:56.8,02:59.9,0 days 00:00:03.108268,0.9934434683002586,0.06333268775321839,6,82,367,100,0.08916674715636552,6.143857495033091e-07,0.5372753218398854,142,0.0025257119536214044,0.9666666666666667,COMPLETE,0.9666666666666667,0.0025257119536214044,142
8,0.033333333333333326,02:59.9,03:02.8,0 days 00:00:02.844517,0.6792328642721364,0.11069143219393454,13,79,1485,16,1.1036250149900698e-07,0.5860448217200526,0.5370223258670452,127,0.0026166298301275944,0.9666666666666667,COMPLETE,0.9666666666666667,0.0026166298301275944,127
9,0.0888888888888889,03:02.8,03:21.3,0 days 00:00:18.572325,0.8187787356776066,0.012413189635294229,7,36,691,165,0.9658611176861261,0.0001778010520878397,0.864803089169032,691,0.0025565001023033847,0.9111111111111111,COMPLETE,0.9111111111111111,0.0025565001023033847,691
10,0.0444444444444444,03:21.3,03:24.0,0 days 00:00:02.636395,0.5075634079566923,0.028477486830279893,3,56,818,242,0.003327054963436227,2.6701270073566428e-08,0.8036901462240623,349,0.001630649649058514,0.9555555555555556,COMPLETE,0.9555555555555556,0.001630649649058514,349
11,0.033333333333333326,03:24.0,03:31.1,0 days 00:00:07.113741,0.860243088803257,0.033572981767512514,9,53,978,45,0.0029151336209232927,9.6138118850759,0.9803217360840014,367,0.0017341089494544,0.9666666666666667,COMPLETE,0.9666666666666667,0.0017341089494544,367
12,0.06666666666666665,03:31.1,03:34.0,0 days 00:00:02.928864,0.8747008888024849,0.18786584377488053,5,8,1974,213,8.80532271108504,1.1114584658963418e-05,0.9603985157526262,99,0.0016901142597861027,0.9333333333333333,COMPLETE,0.9333333333333333,0.0016901142597861027,99
13,0.022222222222222254,03:34.0,03:41.8,0 days 00:00:07.749076,0.6207774664901698,0.038998377344405394,9,40,1172,69,0.008457008200117648,0.007988299391122578,0.8394477787680695,363,0.0028285691110755766,0.9777777777777777,COMPLETE,0.9777777777777777,0.0028285691110755766,363
14,0.05555555555555558,03:41.8,03:55.3,0 days 00:00:13.546000,0.5959217742292199,0.024427595194940532,11,44,726,70,0.004633011838829117,0.0077032212748421435,0.8099785701943512,726,0.002471636891268265,0.9444444444444444,COMPLETE,0.9444444444444444,0.002471636891268265,726
15,0.11111111111111116,03:55.3,03:58.0,0 days 00:00:02.679046,0.6185881625232764,0.03953710986810205,9,66,120,66,9.869597802823101e-05,1.6502042077916268e-05,0.89629280537741,120,0.0024988966569449117,0.8888888888888888,COMPLETE,0.8888888888888888,0.0024988966569449117,120
16,0.09999999999999998,03:58.0,04:02.1,0 days 00:00:04.099173,0.5534205971854996,0.12189734380117233,11,42,1379,69,0.034888537624130564,0.011113746951268615,0.7408345765476048,181,0.00404464829846508,0.9,COMPLETE,0.9,0.00404464829846508,181
17,0.0444444444444444,04:02.1,04:04.3,0 days 00:00:02.250538,0.6428673871148558,0.0454003744102823,4,65,958,19,0.0004942238600958185,2.9693325879959136e-06,0.7372081575599765,188,0.002166886655171298,0.9555555555555556,COMPLETE,0.9555555555555556,0.002166886655171298,188
18,0.1777777777777778,04:04.3,04:23.3,0 days 00:00:18.924432,0.7819873495107165,0.020038260312712823,8,6,1531,85,0.0001402154720337061,5.698099248349357e-05,0.8280219172107682,229,0.003076841710243645,0.8222222222222222,COMPLETE,0.8222222222222222,0.003076841710243645,229
