序号,标的ID,标的名称,训练样本数,特征数,验证MDA,测试MDA,测试MAPE,num_leaves,max_depth,learning_rate,n_estimators,min_child_samples,subsample,colsample_bytree,reg_alpha,reg_lambda,训练时间(秒),训练完成时间
1,ID01516560,PB块：港口库存：华东地区：青岛港：明细（周度）,393,3184,56.7568%,64.1509%,0.302780,188,7,0.05107691264371285,1787,49,0.6922478291765145,0.7586884765953772,2.381951770566822e-07,0.0060993784631180785,269.0,2026-05-29 17:19:24
2,ID01516505,PB块：港口库存：华北地区：曹妃甸港：明细（周度）,393,3184,60.5263%,60.0000%,0.375773,174,4,0.022116340451183568,1963,59,0.5982126174124149,0.8008303668402134,4.1046598686518814e-07,0.00020037748395444204,258.9,2026-05-29 17:23:50
3,ID01516418,PB块：港口库存：长江沿江地区：江阴港：明细（周度）,393,3184,62.1622%,55.1020%,0.694834,209,4,0.03972674082264495,1817,60,0.6117625786475714,0.6785518249305914,1.9086200964391067e-07,0.0023015849208983838,245.8,2026-05-29 17:28:02
4,ID01517120,PB粉：港口库存：华东地区：青岛港：明细（周度）,393,3184,78.3784%,54.7170%,0.536551,164,5,0.03583107060125511,1665,45,0.5935001025545302,0.629633370343115,2.294552356435613e-07,0.00208610047703305,290.2,2026-05-29 17:06:03
5,ID01517067,PB粉：港口库存：华北地区：曹妃甸港：明细（周度）,393,3184,68.4211%,60.3774%,0.439633,207,6,0.013408245925274403,1588,54,0.6608982222057708,0.7488250074257996,5.838488872358438e-07,0.001813052175983597,221.8,2026-05-29 17:09:51
6,ID01516906,PB粉：港口库存：长江沿江地区：江阴港：明细（周度）,393,3184,63.1579%,47.1698%,0.519018,197,4,0.019925244298211298,1692,27,0.8264705281307512,0.734519802626952,1.8492119614909294e-06,0.005773188298875859,287.9,2026-05-29 17:14:47
7,ID01517226,卡拉加斯粉：港口库存：华东地区：青岛港：明细（周度）,393,3184,70.2703%,58.4906%,0.251172,188,5,0.019304232105373048,1428,34,0.5724986186453078,0.6686650067741383,1.8468905952605095e-07,0.00034202505906204506,236.4,2026-05-29 16:01:01
8,ID01517224,卡拉加斯粉：港口库存：华北地区：曹妃甸港：明细（周度）,393,3184,65.7895%,52.8302%,0.363796,170,4,0.008611556324225259,1364,33,0.7784159319104033,0.7659230652435188,3.7994819491083096e-07,0.0009317123722025587,243.6,2026-05-29 16:05:11
9,ID01517220,卡拉加斯粉：港口库存：长江沿江地区：江阴港：明细（周度）,393,3184,66.6667%,58.1395%,5.118336,187,3,0.015980468070375942,1770,59,0.5490362807495142,0.5377949510385807,1.1795523808616394e-07,0.00043036491422384824,223.2,2026-05-29 16:08:59
10,ID00186278,块矿：库存：45个港口（周度）,471,3184,95.4545%,92.4528%,0.012811,166,5,0.04299927350600686,1580,36,0.5714599507028314,0.6159305217841295,3.213998479543983e-07,0.0024077710427335536,305.1,2026-05-29 16:37:10
11,ID01512800,块矿：进口：库存：47个港口（周度）,159,3184,92.8571%,67.9245%,0.036830,198,7,0.05743556598741441,1764,41,0.6628876963790976,0.758283488837714,4.514449805645347e-07,0.0010700341262982465,99.6,2026-05-29 16:53:30
12,ID00186318,球团矿：进口：库存：45个港口（周度）,471,3184,81.8182%,71.6981%,0.273783,201,4,0.035654162477121644,1826,34,0.7027537083530142,0.5012834064576969,1.194441177203681e-07,0.0002875948104380838,277.2,2026-05-29 16:51:47
13,ID01512793,球团矿：进口：库存：47个港口（周度）,159,3184,92.8571%,66.0377%,0.481400,197,4,0.019925244298211298,1692,27,0.8264705281307512,0.734519802626952,1.8492119614909294e-06,0.005773188298875859,118.7,2026-05-29 16:58:51
14,ID01868329,粗粉：库存：47个港口（周度）,124,3184,66.6667%,62.2642%,0.073401,173,3,0.02272718076754365,1689,21,0.5506641585955514,0.7672680777626609,3.8404766860626824e-07,0.0004979791606015983,88.2,2026-05-29 16:55:02
15,ID01135139,粗粉：进口：库存：45个港口（周度）,471,3184,88.6364%,69.8113%,0.037226,175,3,0.02907827638930087,1628,25,0.6667318795419634,0.5104043964357017,1.609272592956049e-06,0.00030854675626875485,266.8,2026-05-29 16:41:43
16,ID01517102,超特粉：港口库存：华东地区：青岛港：明细（周度）,393,3184,72.9730%,54.7170%,0.385020,167,6,0.01986831428308323,1426,41,0.6270168310706193,0.6024893942189784,2.5037279016468263e-07,0.009108494322621093,251.4,2026-05-29 17:32:20
17,ID01517011,超特粉：港口库存：华北地区：曹妃甸港：明细（周度）,393,3184,65.7895%,56.6038%,6.421969,174,3,0.016399374754649216,1595,34,0.7105947675027102,0.711976363905589,5.0924176677931604e-08,0.0003580410284158007,234.4,2026-05-29 17:36:20
18,ID01516873,超特粉：港口库存：长江沿江地区：江阴港：明细（周度）,393,3184,64.8649%,51.0204%,6.528999,182,3,0.03720958542228831,1523,57,0.7112499928557962,0.7428934354495459,9.703749333141192e-08,0.0011734682667456156,175.9,2026-05-29 15:56:59
19,ID01512786,铁矿石：进口：库存：47个港口（周度）,159,3184,85.7143%,62.2642%,0.047572,200,3,0.056136519921092115,1864,28,0.5612226012785683,0.5554898311043164,9.919123481802806e-08,0.0010502045248482618,129.8,2026-05-29 17:01:05
20,ID00414945,铁矿石：进口：库存：华东地区：45个港口（周度）,471,3184,84.0909%,64.1509%,0.023600,175,4,0.01737443254023779,1429,55,0.5726884584909964,0.718894605139921,1.5434209228174193e-07,0.00022188708805842943,260.7,2026-05-29 16:31:56
21,ID02017483,铁矿石：进口：库存：华北地区：45个港口（周度）,471,3184,86.3636%,79.2453%,0.028301,201,5,0.006044232319615036,1523,54,0.8049430581984515,0.6210582491405501,7.594358601795644e-08,0.0003351719103903224,222.9,2026-05-29 15:51:12
22,ID02017488,铁矿石：进口：库存：华南地区：45个港口（周度）,471,3184,81.8182%,69.8113%,0.037286,157,7,0.0391808613495953,1421,29,0.5405084760005704,0.5834931535187704,9.69607792380765e-08,0.0009879766552652045,310.4,2026-05-29 16:22:51
23,ID02017501,铁矿石：进口：库存：长江沿江地区：45个港口（周度）,471,3184,86.3636%,90.5660%,0.018389,175,3,0.02907827638930087,1628,25,0.6667318795419634,0.5104043964357017,1.609272592956049e-06,0.00030854675626875485,272.4,2026-05-29 16:27:29
24,ID00186491,铁精粉：库存：45个港口（周度）,471,3184,84.0909%,66.0377%,0.083046,200,3,0.056136519921092115,1864,28,0.5612226012785683,0.5554898311043164,9.919123481802806e-08,0.0010502045248482618,313.3,2026-05-29 16:47:02
25,ID01515465,铁精粉：港口库存：乌克兰→华东地区：岚山港：明细（周度）,393,3184,63.8889%,63.4615%,0.196651,216,5,0.014448920651563087,1942,41,0.7579777360688189,0.7036721699561687,2.485579067835945e-07,0.007371904514840067,263.8,2026-05-29 16:13:30
26,ID01512783,铁精粉：进口：库存：47个港口（周度）,159,3184,92.8571%,81.1321%,0.084024,210,6,0.043912503838285356,1396,31,0.8172526456574929,0.5453750194122491,3.257501378412774e-07,0.003990222585723799,102.7,2026-05-29 16:56:48
